collectid,treeid,distance,azimuth
212,9772,8.14,328
212,9787,3.8,96
213,777,2.46,310
213,786,1.61,39
214,901,3.3,241
214,904,6.8,10
216,9790,10.4,164
216,9794,4.1,21
217,701,2.15,211
217,714,3.58,108
218,837,1.42,179
218,824,10.0,34.7
219,581,5.14,30
219,573,6.62,233
220,9750,6.04,258
220,9761,7.95,32
310,795,2.94,133
310,783,4.3,344
221,842,2.99,170
221,849,4.49,345
222,944,3.99,280
222,949,6.51,17
223,896,10.98,14
223,877,6.33,193
224,9325,2.34,274
224,9338,5.59,179
225,858,3.01,220
225,867,1.19,38
226,938,4.44,137
226,925,6.69,4
227,3342,7.46,93
227,3336,9.25,282
228,3333,5.08,94
228,3322,4.58,200
229,3272,9.0,279
229,3389,2.7,75
230,3353,2.5,60
230,3348,5.1,284
345,9432,4.84,328
345,9440,2.43,97
330,9806,5.6,82
330,9803,11.2,295
231,3393,6.2,311
231,3391,6.0,205
322,974,3.4,279
322,980,6.9,61
232,9346,4.65,51
232,9341,9.1,226
352,964,4.3,336
352,959,10.1,220
347,987,6.0,222
347,1000,6.5,24
326,9419,9.3,55
326,9411,3.3,248
233,3431,5.2,207
233,3413,5.6,20
234,3303,1.23,76
234,3488,3.69,221
236,3470,1.87,290
236,3468,5.25,170
237,3446,6.48,217
237,3460,7.9,118
456,4400,3.2,229
456,4413,7.8,143
431,4356,3.5,240
431,4369,9.7,13
467,4433,9.5,353
467,4430,8.3,256
473,4422,4.9,330
473,4429,7.2,150
387,9023,1.37,169
387,9002,6.1,342
389,9163,8.5,104
389,9157,5.8,281
366,9041,5.37,66
366,9034,9.63,292
364,9177,6.9,335
364,9167,6.1,194
391,9127,5.1,218
391,9151,9.8,109
368,9065,7.1,40
368,9062,7.4,318
377,4025,5.2,168
377,4012,9.5,3.54
385,9044,9.9,212
385,9056,4.25,114
370,4008,3.4,125
370,4003,7.7,261
383,9092,1.98,18
383,9098,7.65,122
399,9355,5.37,189
399,9364,8.0,17
362,9114,8.5,78
362,9110,10.6,291
358,9884,2.6,342
358,9107,9.1,168
357,9372,6.27,273
357,9374,6.09,0
398,9876,4.8,50
398,9385,4.2,312
453,4474,4.7,200
453,4477,10.4,297
472,4446,8.1,191
472,4451,7.5,96
466,4460,9.8,246
466,4466,8.0,91
452,4490,10.0,18
452,4499,8.2,155
460,9601,10.9,213
460,9609,9.8,118
463,9694,2.5,64
463,9700,8.9,320
437,9713,6.2,228
437,9772,4.7,109
461,9643,5.5,322
461,9658,6.2,152
462,9662,10.1,257
462,9669,9.2,308
436,9713,7.1,135
436,9707,6.4,314
238,3099,10.6,181
238,3087,3.7,39
239,3158,4.6,335
239,3151,5.9,202
240,3172,4.0,185
240,3179,7.5,338
241,3199,8.5,127
241,3198,6.9,26
242,9501,3.4,261
242,9511,42.0,342
243,3101,0.83,170
243,3127,1.6,339
244,527,3.14,60
244,524,8.47,284
245,9282,3.32,262
245,9278,7.1,190
246,672,7.4,138
246,655,2.83,228
247,690,3.67,344
247,697,4.5,242
248,501,4.92,191
248,515,4.91,311
249,9902,8.53,254
249,9917,9.3,182
250,9802,5.2,294
250,9804,11.35,95
251,9932,11.2,77
251,9929,3.8,343
252,9517,1.94,197
252,9542,1.31,22
253,9569,2.19,230
253,9579,3.87,37
254,9989,3.9,224
254,9999,8.3,298
255,611,2.13,57
255,601,0.64,218
256,9691,8.0,340
256,9709,5.3,82
257,9864,2.45,200
257,9868,3.19,74
258,628,3.94,306
258,642,7.63,135
259,9951,,91
259,9937,4.0,222
260,9959,2.54,198
260,9984,2.34,21
261,9823,3.7,210
261,9850,2.6,101
262,9816,6.9,106
262,9814,9.2,71
264,9670,2.12,31
264,9648,1.98,172
265,555,3.17,166
265,541,2.27,280
