collectid,date
1,2022-08-02
2,2022-08-03
3,2022-08-03
4,2022-08-02
5,2022-08-02
6,2022-08-02
7,2022-07-28
8,2022-07-28
212,2022-08-02
213,2022-08-03
214,2022-08-03
215,2022-08-02
216,2022-08-02
217,2022-07-28
217,2022-08-02
218,2022-07-28
218,1901-01-01
219,2022-07-28
220,2022-08-02
310,2022-06-02
221,2022-07-28
222,2022-08-04
223,2022-08-03
224,2022-08-04
225,2022-08-03
226,2022-08-04
227,2022-06-29
228,2022-06-09
229,2022-06-30
230,2022-06-30
345,2022-08-09
330,2022-08-10
231,2022-06-30
322,2022-08-09
232,2022-08-04
352,2022-08-09
347,2022-08-09
326,2022-08-09
233,2022-06-28
234,2022-06-29
235,2022-06-29
236,2022-06-29
237,2022-06-28
430,2022-09-28
456,2022-10-11
431,2022-10-04
467,2022-10-12
473,2022-10-12
108,2022-08-02
109,2022-08-02
110,2022-08-02
111,2022-08-03
112,2022-08-03
387,2022-08-17
389,2022-08-16
366,2022-08-17
364,2022-08-17
391,2022-08-16
368,2022-08-18
377,2022-08-18
385,2022-08-18
370,2022-08-18
383,2022-08-18
399,2022-08-15
362,2022-08-16
358,2022-08-15
357,2022-08-15
398,2022-08-15
453,2022-10-18
472,2022-10-18
466,2022-10-18
452,2022-10-19
460,2022-10-19
463,2022-10-24
437,2022-10-25
461,2022-10-24
462,2022-10-24
436,2022-10-25
9,2022-08-02
10,2022-07-28
11,2022-08-04
