collectid,date
1,2022-08-02
2,2022-08-03
3,2022-08-03
4,2022-08-02
5,2022-08-02
6,2022-08-02
7,2022-07-28
8,2022-07-28
212,2022-08-02
213,2022-08-03
214,2022-08-03
215,2022-08-02
216,2022-08-02
217,2022-07-28
217,2022-08-02
218,2022-07-28
218,1901-01-01
219,2022-07-28
220,2022-08-02
310,2022-06-02
221,2022-07-28
222,2022-08-04
223,2022-08-03
224,2022-08-04
225,2022-08-03
226,2022-08-04
227,2022-06-29
228,2022-06-09
229,2022-06-30
230,2022-06-30
345,2022-08-09
330,2022-08-10
231,2022-06-30
322,2022-08-09
232,2022-08-04
352,2022-08-09
347,2022-08-09
326,2022-08-09
233,2022-06-28
234,2022-06-29
235,2022-06-29
236,2022-06-29
237,2022-06-28
430,2022-09-28
456,2022-10-11
431,2022-10-04
467,2022-10-12
473,2022-10-12
108,2022-08-02
109,2022-08-02
110,2022-08-02
111,2022-08-03
112,2022-08-03
387,2022-08-17
389,2022-08-16
366,2022-08-17
364,2022-08-17
391,2022-08-16
368,2022-08-18
377,2022-08-18
385,2022-08-18
370,2022-08-18
383,2022-08-18
399,2022-08-15
362,2022-08-16
358,2022-08-15
357,2022-08-15
398,2022-08-15
453,2022-10-18
472,2022-10-18
466,2022-10-18
452,2022-10-19
460,2022-10-19
463,2022-10-24
437,2022-10-25
461,2022-10-24
462,2022-10-24
436,2022-10-25
9,2022-08-02
10,2022-07-28
11,2022-08-04
12,2022-08-03
13,2022-08-04
14,2022-08-03
15,2022-08-04
16,2022-06-29
17,2022-06-29
18,2022-06-30
19,2022-06-30
346,2022-08-09
331,2022-08-10
20,2022-06-30
351,2022-08-09
21,2022-08-04
321,2022-08-09
323,2022-08-09
327,2022-08-09
22,2022-06-28
23,2022-06-29
238,2022-07-05
239,2022-07-05
240,2022-07-06
241,2022-07-06
242,2022-07-06
243,2022-07-05
244,2022-07-27
245,2022-07-26
246,2022-07-26
247,2022-07-26
248,2022-07-26
249,2022-07-12
250,2022-07-12
24,2022-06-29
25,2022-06-28
26,2022-06-28
428,2022-09-28
454,2022-10-11
429,2022-10-04
469,2022-10-12
439,2022-09-29
471,2022-10-12
388,2022-08-17
390,2022-08-16
365,2022-08-17
363,2022-08-17
361,2022-08-16
367,2022-08-18
371,2022-08-18
386,2022-08-18
369,2022-08-18
384,2022-08-18
400,2022-08-15
392,2022-08-16
360,2022-08-15
356,2022-08-15
393,2022-08-15
451,2022-10-18
470,2022-10-18
468,2022-10-18
450,2022-10-19
459,2022-10-19
464,2022-10-24
438,2022-10-25
458,2022-10-24
465,2022-10-24
433,2022-10-25
