collectid,clumpid,sapdbh
212,1,3.0
212,1,3.0
212,2,2.0
212,2,1.0
212,2,3.0
212,2,3.0
212,3,1.0
212,3,1.0
212,5,1.0
212,5,1.0
212,5,3.0
212,5,1.0
212,6,3.0
212,6,2.0
212,6,1.0
212,6,1.0
212,6,1.0
212,7,2.0
212,7,2.0
212,7,5.0
212,7,2.0
212,7,2.0
212,7,1.0
212,7,1.0
212,7,1.0
212,7,2.0
212,8,2.0
212,8,2.0
212,9,9.0
212,9,7.0
212,9,1.0
212,9,1.0
212,9,3.0
212,9,2.0
212,9,1.0
212,9,1.0
212,9,1.0
212,9,3.0
212,9,1.0
212,9,1.0
212,9,1.0
212,9,1.0
212,9,1.0
212,9,2.0
212,9,1.0
212,10,2.0
212,10,2.0
212,10,4.0
213,3,6.0
213,3,2.0
213,3,2.0
213,3,1.0
213,3,1.0
213,4,6.0
213,4,3.0
213,5,5.0
213,9,3.0
214,1,3.0
214,2,5.0
215,3,1.0
215,3,1.0
215,3,1.0
215,3,1.0
215,3,2.0
215,4,5.0
215,5,9.0
215,5,4.0
216,1,2.0
216,3,4.0
216,4,1.0
216,4,1.0
216,4,1.0
216,4,1.0
216,4,1.0
216,4,2.0
216,4,2.0
216,5,5.0
216,5,5.0
216,5,4.0
216,5,2.0
216,5,2.0
217,1,3.0
217,1,1.0
217,1,2.0
217,2,1.0
217,4,1.0
217,4,1.0
217,4,1.0
217,4,1.0
217,6,1.0
217,6,1.0
217,6,1.0
217,6,1.0
217,7,5.0
218,1,9.0
218,1,6.0
218,1,6.0
218,1,3.0
218,1,2.0
218,1,3.0
218,1,2.0
218,2,2.0
218,2,2.0
218,2,4.0
218,2,2.0
218,2,2.0
218,2,2.0
218,2,2.0
218,2,2.0
218,2,3.0
218,5,7.0
218,5,5.0
218,5,5.0
218,5,3.0
218,5,5.0
218,5,7.0
218,6,2.0
218,6,4.0
218,6,3.0
218,6,3.0
219,1,1.0
219,1,1.0
219,1,1.0
219,1,1.0
219,1,1.0
219,1,1.0
219,1,1.0
